Nom de l'�tablissement,Note,Nombre d'avis,Cat�gorie,Adresse / r�sum�,Ville (d�duite de l'URL),Activit� (d�duite de l'URL),URL de recherche,URL Google Maps
Belaora Spa,5.0,,Belaora Spa,,etablissement wellness Berlise,,https://www.google.com/maps/search/etablissement+wellness+Berlise%2BFrance/,https://www.google.com/maps/place/Belaora+Spa/data=!4m7!3m6!1s0x47e9fbec65d40001:0x2a8fc013af8274f4!8m2!3d49.8415669!4d4.3296757!16s%2Fg%2F11ry_8y2xx!19sChIJAQDUZez76UcR9HSCrxPAjyo?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Wellness France,4.8,,Wellness France,,etablissement wellness Berlise,,https://www.google.com/maps/search/etablissement+wellness+Berlise%2BFrance/,https://www.google.com/maps/place/Wellness+France/data=!4m7!3m6!1s0x47ebdf0ce29d4c25:0x53e0193fac8788e1!8m2!3d49.039745!4d4.3260132!16s%2Fg%2F11j6kpr8z0!19sChIJJUyd4gzf60cR4YiHrD8Z4FM?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Ushuaïa Villages Provence Ventoux,3.9,,Ushuaïa Villages Provence Ventoux,,etablissement wellness Aurel,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurel%2BFrance/,https://www.google.com/maps/place/Ushua%C3%AFa+Villages+Provence+Ventoux/data=!4m10!3m9!1s0x12ca42eb203f731d:0x8be8ac03af25eb7d!5m2!4m1!1i2!8m2!3d44.102911!4d5.424837!16s%2Fg%2F1xnz1xk_!19sChIJHXM_IOtCyhIRfeslrwOs6Is?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Le Village des Lavandes,4.5,,Le Village des Lavandes,,etablissement wellness Aurel,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurel%2BFrance/,https://www.google.com/maps/place/Le+Village+des+Lavandes/data=!4m10!3m9!1s0x12ca5c4ee0cb24c1:0xf7eef4a6019e0dfb!5m2!4m1!1i2!8m2!3d44.169313!4d5.443295!16s%2Fg%2F11hctjz1kb!19sChIJwSTL4E5cyhIR-w2eAab07vc?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Résidence Odalys Les Soleils du Luberon,4.1,,Résidence Odalys Les Soleils du Luberon,,etablissement wellness Aurel,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurel%2BFrance/,https://www.google.com/maps/place/R%C3%A9sidence+Odalys+Les+Soleils+du+Luberon/data=!4m10!3m9!1s0x12ca10ab94d81587:0x206268495da7c37f!5m2!4m1!1i2!8m2!3d43.8534942!4d5.2737902!16s%2Fg%2F1tl6mq0l!19sChIJhxXYlKsQyhIRf8OnXUloYiA?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Village Pont Royal en Provence Pierre & Vacances,4.1,,Village Pont Royal en Provence Pierre & Vacances,,etablissement wellness Aurel,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurel%2BFrance/,https://www.google.com/maps/place/Village+Pont+Royal+en+Provence+Pierre+%26+Vacances/data=!4m10!3m9!1s0x12ca02e28edc4449:0x1c98c76681b2e7cf!5m2!4m1!1i2!8m2!3d43.708!4d5.21031!16s%2Fg%2F113dsv8cp!19sChIJSUTcjuICyhIRz-eygWbHmBw?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Olydea les Sources - à proximité des thermes de Montbrun-les-Bains,4.1,,Olydea les Sources - à proximité des thermes de Montbrun-les-Bains,,etablissement wellness Aurel,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Aurel%2BFrance/,https://www.google.com/maps/place/Olydea+les+Sources+-+%C3%A0+proximit%C3%A9+des+thermes+de+Montbrun-les-Bains/data=!4m10!3m9!1s0x12ca5dac893a5b11:0xaa9e33d770e0b7b2!5m2!4m1!1i2!8m2!3d44.1730177!4d5.4431106!16s%2Fg%2F11tx1s911f!19sChIJEVs6iaxdyhIRsrfgcNcznqo?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Résidence Odalys Les Dunes du Soleil,4.3,,Résidence Odalys Les Dunes du Soleil,,etablissement wellness Bréhain,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Bréhain%2BFrance/,https://www.google.com/maps/place/R%C3%A9sidence+Odalys+Les+Dunes+du+Soleil/data=!4m10!3m9!1s0x12b6978e805f9789:0x50b7882ba1fc1b7e!5m2!4m1!1i2!8m2!3d43.5570253!4d4.0951808!16s%2Fg%2F1hhx3v1qc!19sChIJiZdfgI6XthIRfhv8oSuIt1A?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Camping de Villey-le-Sec,4.3,,Camping de Villey-le-Sec,,etablissement wellness Bréhain,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Bréhain%2BFrance/,https://www.google.com/maps/place/Camping+de+Villey-le-Sec/data=!4m10!3m9!1s0x4794a5e61e76c91f:0xb9de8e62ba1cdc6a!5m2!4m1!1i2!8m2!3d48.6529082!4d5.9924442!16s%2Fg%2F1tdg6qxc!19sChIJH8l2HuallEcRatwcumKO3rk?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
Résidence premium Les Fermes du Soleil Pierre & Vacances,4.6,,Résidence premium Les Fermes du Soleil Pierre & Vacances,,etablissement wellness Bréhain,(recherche alternative),https://www.google.com/maps/search/etablissement+wellness+Bréhain%2BFrance/,https://www.google.com/maps/place/R%C3%A9sidence+premium+Les+Fermes+du+Soleil+Pierre+%26+Vacances/data=!4m10!3m9!1s0x478c00886ee965fd:0xee60954f50d2131c!5m2!4m1!1i2!8m2!3d46.027!4d6.63779!16s%2Fg%2F1tf5cmyd!19sChIJ_WXpbogAjEcRHBPSUE-VYO4?authuser=0&hl=fr&g_ep=EgoyMDI2MDgxOS4wIJJjKgBIAVAD&rclk=1
